| Rank | Team Name            | Wins | Draws | Losses | Goals Scored | Goals Conceded | Points | Goal Difference |
| 67   | Team 333             |   20 |    12 |      1 |           33 |             41 |     72 |              -8 |
| 68   | Team 536             |   23 |     3 |      7 |           37 |             47 |     72 |             -10 |
| 69   | Team 657             |   25 |    -3 |     11 |           60 |             75 |     72 |             -15 |
| 70   | Team 862             |   22 |     6 |      5 |           40 |             70 |     72 |             -30 |
| 71   | Team 454             |   22 |     5 |      6 |           82 |             40 |     71 |              42 |
| 72   | Team 242             |   19 |    14 |      0 |           76 |             46 |     71 |              30 |
| 73   | Team 97              |   20 |    11 |      2 |           47 |             25 |     71 |              22 |
| 74   | Team 88              |   21 |     8 |      4 |           50 |             32 |     71 |              18 |
| 75   | Team 414             |   22 |     5 |      6 |           62 |             49 |     71 |              13 |
| 76   | Team 848             |   24 |    -1 |     10 |           41 |             33 |     71 |               8 |
| 77   | Team 800             |   19 |    14 |      0 |           30 |             24 |     71 |               6 |
| 78   | Team 109             |   20 |    11 |      2 |           43 |             38 |     71 |               5 |
| 79   | Team 397             |   20 |    11 |      2 |           52 |             52 |     71 |               0 |
| 80   | Team 82              |   20 |    11 |      2 |           49 |             49 |     71 |               0 |
| 81   | Team 688             |   21 |     8 |      4 |           37 |             49 |     71 |             -12 |
| 82   | Team 888             |   22 |     5 |      6 |           55 |             68 |     71 |             -13 |
| 83   | Team 853             |   20 |    10 |      3 |           54 |             25 |     70 |              29 |
| 84   | Team 316             |   20 |    10 |      3 |           51 |             39 |     70 |              12 |
| 85   | Team 507             |   21 |     7 |      5 |           46 |             34 |     70 |              12 |
| 86   | Team 48              |   20 |    10 |      3 |           36 |             24 |     70 |              12 |
| 87   | Team 591             |   20 |    10 |      3 |           55 |             45 |     70 |              10 |
| 88   | Team 929             |   21 |     7 |      5 |           44 |             37 |     70 |               7 |
| 89   | Team 894             |   19 |    13 |      1 |           44 |             37 |     70 |               7 |
| 90   | Team 974             |   21 |     7 |      5 |           33 |             26 |     70 |               7 |
| 91   | Team 256             |   20 |    10 |      3 |           57 |             58 |     70 |              -1 |
| 92   | Team 42              |   20 |    10 |      3 |           32 |             33 |     70 |              -1 |
| 93   | Team 722             |   20 |    10 |      3 |           38 |             40 |     70 |              -2 |
| 94   | Team 843             |   19 |    13 |      1 |           30 |             32 |     70 |              -2 |
| 95   | Team 149             |   19 |    13 |      1 |           57 |             62 |     70 |              -5 |
| 96   | Team 913             |   21 |     7 |      5 |           31 |             39 |     70 |              -8 |
| 97   | Team 615             |   19 |    13 |      1 |           43 |             77 |     70 |             -34 |
| 98   | Team 819             |   19 |    12 |      2 |           81 |             50 |     69 |              31 |
| 99   | Team 577             |   20 |     9 |      4 |           62 |             33 |     69 |              29 |
| 100  | Team 395             |   19 |    12 |      2 |           49 |             23 |     69 |              26 |
| 101  | Team 3               |   20 |     9 |      4 |           61 |             36 |     69 |              25 |
| 102  | Team 75              |   23 |     0 |     10 |           55 |             34 |     69 |              21 |
| 103  | Team 358             |   21 |     6 |      6 |           59 |             40 |     69 |              19 |
| 104  | Team 755             |   23 |     0 |     10 |           54 |             36 |     69 |              18 |
| 105  | Team 21              |   22 |     3 |      8 |           39 |             23 |     69 |              16 |
| 106  | Team 463             |   19 |    12 |      2 |           30 |             28 |     69 |               2 |
| 107  | Team 548             |   20 |     9 |      4 |           33 |             34 |     69 |              -1 |
| 108  | Team 409             |   19 |    12 |      2 |           33 |             34 |     69 |              -1 |
| 109  | Team 146             |   20 |     9 |      4 |           40 |             46 |     69 |              -6 |
| 110  | Team 92              |   21 |     6 |      6 |           50 |             57 |     69 |              -7 |
| 111  | Team 322             |   21 |     6 |      6 |           44 |             55 |     69 |             -11 |
| 112  | Team 211             |   19 |    12 |      2 |           32 |             47 |     69 |             -15 |
| 113  | Team 62              |   21 |     6 |      6 |           33 |             56 |     69 |             -23 |
| 114  | Team 311             |   20 |     9 |      4 |           36 |             68 |     69 |             -32 |
| 115  | Team 393             |   19 |    11 |      3 |           63 |             31 |     68 |              32 |
| 116  | Team 988             |   19 |    11 |      3 |           48 |             20 |     68 |              28 |
| 117  | Team 886             |   21 |     5 |      7 |           61 |             35 |     68 |              26 |
| 118  | Team 50              |   20 |     8 |      5 |           45 |             20 |     68 |              25 |
| 119  | Team 485             |   21 |     5 |      7 |           59 |             38 |     68 |              21 |
| 120  | Team 377             |   21 |     5 |      7 |           56 |             40 |     68 |              16 |
| 121  | Team 839             |   19 |    11 |      3 |           47 |             34 |     68 |              13 |
| 122  | Team 215             |   19 |    11 |      3 |           43 |             31 |     68 |              12 |
| 123  | Team 584             |   24 |    -4 |     13 |           61 |             50 |     68 |              11 |
| 124  | Team 279             |   22 |     2 |      9 |           33 |             22 |     68 |              11 |
| 125  | Team 380             |   19 |    11 |      3 |           36 |             32 |     68 |               4 |
| 126  | Team 134             |   22 |     2 |      9 |           37 |             34 |     68 |               3 |
| 127  | Team 17              |   19 |    11 |      3 |           52 |             53 |     68 |              -1 |
| 128  | Team 198             |   21 |     5 |      7 |           41 |             46 |     68 |              -5 |
| 129  | Team 587             |   20 |     8 |      5 |           41 |             53 |     68 |             -12 |
| 130  | Team 586             |   18 |    13 |      2 |           58 |             39 |     67 |              19 |
| 131  | Team 115             |   19 |    10 |      4 |           55 |             40 |     67 |              15 |
| 132  | Team 462             |   21 |     4 |      8 |           42 |             30 |     67 |              12 |
| 133  | Team 450             |   22 |     1 |     10 |           38 |             26 |     67 |              12 |
| 134  | Team 453             |   22 |     1 |     10 |           49 |             39 |     67 |              10 |
| 135  | Team 381             |   19 |    10 |      4 |           33 |             26 |     67 |               7 |
| 136  | Team 883             |   21 |     4 |      8 |           50 |             44 |     67 |               6 |
| 137  | Team 645             |   20 |     7 |      6 |           42 |             41 |     67 |               1 |
| 138  | Team 565             |   19 |    10 |      4 |           32 |             31 |     67 |               1 |
| 139  | Team 273             |   21 |     4 |      8 |           53 |             60 |     67 |              -7 |
| 140  | Team 121             |   22 |     1 |     10 |           60 |             68 |     67 |              -8 |
| 141  | Team 91              |   22 |     1 |     10 |           42 |             50 |     67 |              -8 |
| 142  | Team 290             |   18 |    13 |      2 |           30 |             42 |     67 |             -12 |
| 143  | Team 527             |   18 |    13 |      2 |           38 |             54 |     67 |             -16 |
| 144  | Team 248             |   20 |     7 |      6 |           39 |             61 |     67 |             -22 |
| 145  | Team 361             |   20 |     7 |      6 |           32 |             58 |     67 |             -26 |
| 146  | Team 36              |   20 |     6 |      7 |           82 |             24 |     66 |              58 |
| 147  | Team 45              |   19 |     9 |      5 |           79 |             43 |     66 |              36 |
| 148  | Team 411             |   19 |     9 |      5 |           52 |             23 |     66 |              29 |
| 149  | Team 674             |   19 |     9 |      5 |           61 |             38 |     66 |              23 |
| 150  | Team 526             |   19 |     9 |      5 |           50 |             36 |     66 |              14 |
| 151  | Team 40              |   17 |    15 |      1 |           40 |             26 |     66 |              14 |
| 152  | Team 757             |   19 |     9 |      5 |           36 |             22 |     66 |              14 |
| 153  | Team 673             |   17 |    15 |      1 |           31 |             20 |     66 |              11 |
| 154  | Team 529             |   20 |     6 |      7 |           37 |             28 |     66 |               9 |
| 155  | Team 822             |   19 |     9 |      5 |           48 |             41 |     66 |               7 |
| 156  | Team 499             |   18 |    12 |      3 |           64 |             58 |     66 |               6 |
| 157  | Team 254             |   21 |     3 |      9 |           38 |             32 |     66 |               6 |
| 158  | Team 98              |   18 |    12 |      3 |           51 |             46 |     66 |               5 |
| 159  | Team 654             |   20 |     6 |      7 |           42 |             40 |     66 |               2 |
| 160  | Team 578             |   18 |    12 |      3 |           38 |             37 |     66 |               1 |
| 161  | Team 162             |   21 |     3 |      9 |           32 |             32 |     66 |               0 |
| 162  | Team 820             |   17 |    15 |      1 |           46 |             47 |     66 |              -1 |
| 163  | Team 715             |   21 |     3 |      9 |           43 |             47 |     66 |              -4 |
| 164  | Team 362             |   18 |    12 |      3 |           43 |             54 |     66 |             -11 |
| 165  | Team 432             |   17 |    15 |      1 |           42 |             53 |     66 |             -11 |
| 166  | Team 807             |   19 |     9 |      5 |           45 |             59 |     66 |             -14 |
| 167  | Team 700             |   16 |    17 |      0 |           55 |             25 |     65 |              30 |
| 168  | Team 954             |   20 |     5 |      8 |           71 |             48 |     65 |              23 |
| 169  | Team 126             |   18 |    11 |      4 |           62 |             39 |     65 |              23 |
| 170  | Team 931             |   20 |     5 |      8 |           53 |             30 |     65 |              23 |
| 171  | Team 692             |   19 |     8 |      6 |           51 |             32 |     65 |              19 |
| 172  | Team 739             |   21 |     2 |     10 |           62 |             46 |     65 |              16 |
| 173  | Team 826             |   20 |     5 |      8 |           43 |             27 |     65 |              16 |
| 174  | Team 375             |   22 |    -1 |     12 |           51 |             37 |     65 |              14 |
| 175  | Team 689             |   17 |    14 |      2 |           35 |             21 |     65 |              14 |
| 176  | Team 970             |   20 |     5 |      8 |           34 |             28 |     65 |               6 |
| 177  | Team 247             |   20 |     5 |      8 |           60 |             60 |     65 |               0 |
| 178  | Team 106             |   17 |    14 |      2 |           44 |             44 |     65 |               0 |
| 179  | Team 771             |   20 |     5 |      8 |           43 |             44 |     65 |              -1 |
| 180  | Team 808             |   19 |     8 |      6 |           38 |             40 |     65 |              -2 |
| 181  | Team 391             |   17 |    14 |      2 |           41 |             45 |     65 |              -4 |
| 182  | Team 201             |   20 |     5 |      8 |           34 |             41 |     65 |              -7 |
| 183  | Team 379             |   18 |    11 |      4 |           34 |             41 |     65 |              -7 |
| 184  | Team 328             |   19 |     8 |      6 |           48 |             59 |     65 |             -11 |
| 185  | Team 875             |   21 |     2 |     10 |           31 |             48 |     65 |             -17 |
| 186  | Team 63              |   19 |     7 |      7 |           68 |             34 |     64 |              34 |
| 187  | Team 828             |   21 |     1 |     11 |           56 |             28 |     64 |              28 |
| 188  | Team 912             |   18 |    10 |      5 |           55 |             29 |     64 |              26 |
| 189  | Team 37              |   17 |    13 |      3 |           53 |             35 |     64 |              18 |
| 190  | Team 167             |   19 |     7 |      7 |           37 |             20 |     64 |              17 |
| 191  | Team 5               |   18 |    10 |      5 |           42 |             28 |     64 |              14 |
| 192  | Team 977             |   19 |     7 |      7 |           36 |             25 |     64 |              11 |
| 193  | Team 232             |   16 |    16 |      1 |           46 |             39 |     64 |               7 |
| 194  | Team 60              |   18 |    10 |      5 |           51 |             46 |     64 |               5 |
| 195  | Team 142             |   18 |    10 |      5 |           49 |             45 |     64 |               4 |
| 196  | Team 832             |   18 |    10 |      5 |           33 |             30 |     64 |               3 |
| 197  | Team 386             |   20 |     4 |      9 |           35 |             34 |     64 |               1 |
| 198  | Team 531             |   20 |     4 |      9 |           34 |             33 |     64 |               1 |
| 199  | Team 490             |   19 |     7 |      7 |           59 |             61 |     64 |              -2 |
| 200  | Team 265             |   16 |    16 |      1 |           39 |             41 |     64 |              -2 |
| 201  | Team 637             |   19 |     7 |      7 |           36 |             38 |     64 |              -2 |
| 202  | Team 812             |   19 |     7 |      7 |           55 |             58 |     64 |              -3 |
| 203  | Team 860             |   16 |    16 |      1 |           50 |             53 |     64 |              -3 |
| 204  | Team 137             |   19 |     7 |      7 |           30 |             33 |     64 |              -3 |
| 205  | Team 225             |   19 |     7 |      7 |           53 |             58 |     64 |              -5 |
| 206  | Team 539             |   19 |     7 |      7 |           36 |             41 |     64 |              -5 |
| 207  | Team 2               |   20 |     4 |      9 |           30 |             63 |     64 |             -33 |
| 208  | Team 546             |   18 |     9 |      6 |           61 |             37 |     63 |              24 |
| 209  | Team 230             |   17 |    12 |      4 |           60 |             37 |     63 |              23 |
| 210  | Team 517             |   19 |     6 |      8 |           48 |             27 |     63 |              21 |
| 211  | Team 971             |   16 |    15 |      2 |           54 |             36 |     63 |              18 |
| 212  | Team 459             |   18 |     9 |      6 |           48 |             31 |     63 |              17 |
| 213  | Team 621             |   19 |     6 |      8 |           67 |             51 |     63 |              16 |
| 214  | Team 909             |   20 |     3 |     10 |           51 |             36 |     63 |              15 |
| 215  | Team 315             |   18 |     9 |      6 |           41 |             26 |     63 |              15 |
| 216  | Team 18              |   18 |     9 |      6 |           36 |             24 |     63 |              12 |
| 217  | Team 344             |   18 |     9 |      6 |           49 |             39 |     63 |              10 |
| 218  | Team 644             |   20 |     3 |     10 |           52 |             43 |     63 |               9 |
| 219  | Team 320             |   18 |     9 |      6 |           59 |             51 |     63 |               8 |
| 220  | Team 957             |   20 |     3 |     10 |           38 |             35 |     63 |               3 |
| 221  | Team 991             |   17 |    12 |      4 |           40 |             38 |     63 |               2 |
| 222  | Team 200             |   19 |     6 |      8 |           42 |             42 |     63 |               0 |
| 223  | Team 136             |   18 |     9 |      6 |           64 |             65 |     63 |              -1 |
| 224  | Team 403             |   17 |    12 |      4 |           45 |             46 |     63 |              -1 |
| 225  | Team 551             |   17 |    12 |      4 |           48 |             53 |     63 |              -5 |
| 226  | Team 632             |   19 |     6 |      8 |           38 |             45 |     63 |              -7 |
| 227  | Team 313             |   18 |     9 |      6 |           30 |             40 |     63 |             -10 |
| 228  | Team 785             |   19 |     6 |      8 |           42 |             56 |     63 |             -14 |
| 229  | Team 263             |   17 |    12 |      4 |           43 |             62 |     63 |             -19 |
| 230  | Team 597             |   19 |     6 |      8 |           31 |             51 |     63 |             -20 |
| 231  | Team 53              |   17 |    12 |      4 |           43 |             65 |     63 |             -22 |
| 232  | Team 725             |   16 |    15 |      2 |           42 |             67 |     63 |             -25 |
| 233  | Team 933             |   19 |     6 |      8 |           41 |             66 |     63 |             -25 |
| 234  | Team 22              |   18 |     9 |      6 |           35 |             62 |     63 |             -27 |
| 235  | Team 998             |   19 |     6 |      8 |           38 |             71 |     63 |             -33 |
| 236  | Team 321             |   20 |     3 |     10 |           30 |             67 |     63 |             -37 |
| 237  | Team 844             |   20 |     2 |     11 |           76 |             37 |     62 |              39 |
| 238  | Team 607             |   15 |    17 |      1 |           57 |             27 |     62 |              30 |
| 239  | Team 745             |   21 |    -1 |     13 |           52 |             26 |     62 |              26 |
| 240  | Team 132             |   18 |     8 |      7 |           51 |             28 |     62 |              23 |
| 241  | Team 173             |   21 |    -1 |     13 |           72 |             56 |     62 |              16 |
| 242  | Team 690             |   18 |     8 |      7 |           55 |             40 |     62 |              15 |
| 243  | Team 506             |   16 |    14 |      3 |           41 |             28 |     62 |              13 |
| 244  | Team 130             |   18 |     8 |      7 |           69 |             58 |     62 |              11 |
| 245  | Team 327             |   16 |    14 |      3 |           36 |             27 |     62 |               9 |
| 246  | Team 124             |   19 |     5 |      9 |           43 |             35 |     62 |               8 |
| 247  | Team 813             |   19 |     5 |      9 |           43 |             35 |     62 |               8 |
| 248  | Team 865             |   18 |     8 |      7 |           45 |             40 |     62 |               5 |
| 249  | Team 528             |   18 |     8 |      7 |           34 |             30 |     62 |               4 |
| 250  | Team 553             |   20 |     2 |     11 |           39 |             36 |     62 |               3 |
| 251  | Team 738             |   18 |     8 |      7 |           47 |             45 |     62 |               2 |
| 252  | Team 799             |   17 |    11 |      5 |           45 |             43 |     62 |               2 |
| 253  | Team 635             |   20 |     2 |     11 |           53 |             54 |     62 |              -1 |
| 254  | Team 25              |   15 |    17 |      1 |           35 |             37 |     62 |              -2 |
| 255  | Team 915             |   20 |     2 |     11 |           31 |             34 |     62 |              -3 |
| 256  | Team 805             |   18 |     8 |      7 |           40 |             47 |     62 |              -7 |
| 257  | Team 845             |   18 |     8 |      7 |           39 |             46 |     62 |              -7 |
| 258  | Team 701             |   21 |    -1 |     13 |           44 |             56 |     62 |             -12 |
| 259  | Team 389             |   18 |     8 |      7 |           33 |             45 |     62 |             -12 |
| 260  | Team 191             |   19 |     5 |      9 |           39 |             53 |     62 |             -14 |
| 261  | Team 764             |   16 |    14 |      3 |           33 |             51 |     62 |             -18 |
| 262  | Team 643             |   17 |    11 |      5 |           52 |             71 |     62 |             -19 |
| 263  | Team 8               |   17 |    11 |      5 |           45 |             70 |     62 |             -25 |
| 264  | Team 842             |   18 |     7 |      8 |           56 |             23 |     61 |              33 |
| 265  | Team 599             |   20 |     1 |     12 |           54 |             22 |     61 |              32 |
| 266  | Team 86              |   18 |     7 |      8 |           74 |             46 |     61 |              28 |
| 267  | Team 532             |   17 |    10 |      6 |           53 |             27 |     61 |              26 |
| 268  | Team 166             |   19 |     4 |     10 |           47 |             25 |     61 |              22 |
| 269  | Team 873             |   17 |    10 |      6 |           58 |             45 |     61 |              13 |
| 270  | Team 324             |   18 |     7 |      8 |           33 |             21 |     61 |              12 |
| 271  | Team 960             |   18 |     7 |      8 |           44 |             33 |     61 |              11 |
| 272  | Team 29              |   17 |    10 |      6 |           39 |             29 |     61 |              10 |
| 273  | Team 243             |   17 |    10 |      6 |           36 |             26 |     61 |              10 |
| 274  | Team 830             |   16 |    13 |      4 |           48 |             39 |     61 |               9 |
| 275  | Team 216             |   18 |     7 |      8 |           48 |             39 |     61 |               9 |
| 276  | Team 135             |   18 |     7 |      8 |           39 |             30 |     61 |               9 |
| 277  | Team 199             |   18 |     7 |      8 |           31 |             22 |     61 |               9 |
| 278  | Team 415             |   17 |    10 |      6 |           41 |             34 |     61 |               7 |
| 279  | Team 266             |   18 |     7 |      8 |           41 |             34 |     61 |               7 |
| 280  | Team 751             |   18 |     7 |      8 |           59 |             53 |     61 |               6 |
| 281  | Team 937             |   18 |     7 |      8 |           54 |             48 |     61 |               6 |
| 282  | Team 408             |   17 |    10 |      6 |           42 |             36 |     61 |               6 |
| 283  | Team 976             |   20 |     1 |     12 |           34 |             29 |     61 |               5 |
| 284  | Team 893             |   19 |     4 |     10 |           47 |             43 |     61 |               4 |
| 285  | Team 227             |   19 |     4 |     10 |           48 |             45 |     61 |               3 |
| 286  | Team 103             |   18 |     7 |      8 |           47 |             46 |     61 |               1 |
| 287  | Team 188             |   18 |     7 |      8 |           54 |             55 |     61 |              -1 |
| 288  | Team 323             |   19 |     4 |     10 |           38 |             42 |     61 |              -4 |
| 289  | Team 641             |   17 |    10 |      6 |           50 |             57 |     61 |              -7 |
| 290  | Team 468             |   20 |     1 |     12 |           33 |             42 |     61 |              -9 |
| 291  | Team 184             |   18 |     7 |      8 |           45 |             58 |     61 |             -13 |
| 292  | Team 560             |   18 |     7 |      8 |           45 |             58 |     61 |             -13 |
| 293  | Team 46              |   18 |     7 |      8 |           30 |             43 |     61 |             -13 |
| 294  | Team 973             |   20 |     1 |     12 |           30 |             47 |     61 |             -17 |
| 295  | Team 796             |   17 |    10 |      6 |           42 |             68 |     61 |             -26 |
| 296  | Team 437             |   18 |     7 |      8 |           30 |             57 |     61 |             -27 |
| 297  | Team 174             |   17 |     9 |      7 |           77 |             33 |     60 |              44 |
| 298  | Team 555             |   18 |     6 |      9 |           59 |             22 |     60 |              37 |
| 299  | Team 852             |   15 |    15 |      3 |           70 |             39 |     60 |              31 |
| 300  | Team 777             |   20 |     0 |     13 |           65 |             35 |     60 |              30 |
| 301  | Team 612             |   15 |    15 |      3 |           82 |             56 |     60 |              26 |
| 302  | Team 731             |   18 |     6 |      9 |           49 |             24 |     60 |              25 |
| 303  | Team 802             |   20 |     0 |     13 |           64 |             40 |     60 |              24 |
| 304  | Team 616             |   15 |    15 |      3 |           49 |             25 |     60 |              24 |
| 305  | Team 825             |   17 |     9 |      7 |           63 |             40 |     60 |              23 |
| 306  | Team 779             |   20 |     0 |     13 |           55 |             36 |     60 |              19 |
| 307  | Team 742             |   17 |     9 |      7 |           51 |             42 |     60 |               9 |
| 308  | Team 666             |   16 |    12 |      5 |           40 |             32 |     60 |               8 |
| 309  | Team 747             |   18 |     6 |      9 |           46 |             39 |     60 |               7 |
| 310  | Team 726             |   18 |     6 |      9 |           37 |             30 |     60 |               7 |
| 311  | Team 664             |   17 |     9 |      7 |           47 |             41 |     60 |               6 |
| 312  | Team 769             |   19 |     3 |     11 |           35 |             29 |     60 |               6 |
| 313  | Team 61              |   16 |    12 |      5 |           31 |             27 |     60 |               4 |
| 314  | Team 972             |   17 |     9 |      7 |           35 |             32 |     60 |               3 |
| 315  | Team 511             |   16 |    12 |      5 |           56 |             54 |     60 |               2 |
| 316  | Team 655             |   19 |     3 |     11 |           44 |             43 |     60 |               1 |
| 317  | Team 967             |   19 |     3 |     11 |           37 |             37 |     60 |               0 |
| 318  | Team 880             |   19 |     3 |     11 |           36 |             36 |     60 |               0 |
| 319  | Team 554             |   17 |     9 |      7 |           30 |             31 |     60 |              -1 |
| 320  | Team 619             |   19 |     3 |     11 |           49 |             54 |     60 |              -5 |
| 321  | Team 846             |   16 |    12 |      5 |           41 |             46 |     60 |              -5 |
| 322  | Team 947             |   18 |     6 |      9 |           41 |             49 |     60 |              -8 |
| 323  | Team 208             |   17 |     9 |      7 |           36 |             44 |     60 |              -8 |
| 324  | Team 270             |   17 |     9 |      7 |           57 |             67 |     60 |             -10 |
| 325  | Team 38              |   17 |     9 |      7 |           45 |             57 |     60 |             -12 |
| 326  | Team 677             |   17 |     9 |      7 |           37 |             51 |     60 |             -14 |
| 327  | Team 394             |   15 |    15 |      3 |           34 |             48 |     60 |             -14 |
| 328  | Team 412             |   16 |    12 |      5 |           33 |             57 |     60 |             -24 |
| 329  | Team 169             |   18 |     6 |      9 |           33 |             66 |     60 |             -33 |
| 330  | Team 292             |   16 |    11 |      6 |           62 |             24 |     59 |              38 |
| 331  | Team 566             |   16 |    11 |      6 |           66 |             32 |     59 |              34 |
| 332  | Team 487             |   18 |     5 |     10 |           60 |             33 |     59 |              27 |
| 333  | Team 28              |   17 |     8 |      8 |           68 |             44 |     59 |              24 |
| 334  | Team 762             |   17 |     8 |      8 |           55 |             34 |     59 |              21 |
| 335  | Team 993             |   20 |    -1 |     14 |           68 |             48 |     59 |              20 |
| 336  | Team 365             |   17 |     8 |      8 |           41 |             21 |     59 |              20 |
| 337  | Team 636             |   20 |    -1 |     14 |           47 |             28 |     59 |              19 |
| 338  | Team 150             |   17 |     8 |      8 |           44 |             25 |     59 |              19 |
| 339  | Team 676             |   16 |    11 |      6 |           55 |             40 |     59 |              15 |
| 340  | Team 980             |   15 |    14 |      4 |           39 |             24 |     59 |              15 |
| 341  | Team 914             |   19 |     2 |     12 |           63 |             50 |     59 |              13 |
| 342  | Team 58              |   18 |     5 |     10 |           33 |             20 |     59 |              13 |
| 343  | Team 723             |   19 |     2 |     12 |           54 |             45 |     59 |               9 |
